EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Type of parameter,Description,Parameters / Conditions,Region / Regional Conditions,Value,Unit,Equation
120656,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.439,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120657,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.432,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120658,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.425,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120659,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.419,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120660,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.413,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120661,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.408,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120662,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.402,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120663,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.397,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120664,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.392,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120665,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.387,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120666,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.382,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120667,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.378,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120668,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.373,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120669,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.369,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120670,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.365,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120671,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.361,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120672,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.357,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120673,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.353,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120674,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.35,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120675,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.346,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120676,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.343,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120677,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.340,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120678,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,1.561,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120679,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,1.334,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120680,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,1.183,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120681,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,1.072,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120682,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.988,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120683,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.921,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120684,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.865,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120685,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.818,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120686,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.778,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120687,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.743,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120688,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.713,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120689,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.686,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120690,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.661,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120691,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.639,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120692,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.620,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120693,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.601,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120694,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.585,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120695,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.569,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120696,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.555,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120697,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.542,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120698,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.529,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120699,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.518,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120700,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.507,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120701,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.496,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120702,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.487,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120703,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.478,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120704,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1976 - 2000,,0.469,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120705,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,5.735,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120706,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,2.397,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120707,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,1.762,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120708,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,1.454,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120709,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,1.265,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120710,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,1.133,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120711,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,1.035,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120712,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,0.959,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120713,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,0.896,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120714,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,0.845,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120715,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,0.801,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120716,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,0.763,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120717,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,0.73,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120718,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,0.701,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120719,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,0.675,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120720,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 2001 - Present,,0.652,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
122973,"1B1a1 - Underground Mines
","1.B.1.a.i.1 - Mining
","METHANE
",Measured,Fugitive emissions from underground mining activities,"""Degree-I"" underground seam refers to a coal seams in which the percentage of methane in the general body of air does not exceed 0.1 and the rate of emission of methane does not exceed one cubic meter per tonne of coal produced. (Reg 2(12A), Coal Mines Regulations, 1957, DGMS, India)",India,2.91,m3/tonnes of product,
122974,"1B1a1 - Underground Mines
","1.B.1.a.i.1 - Mining
","METHANE
",Measured,Fugitive emissions from underground mining activities,,India,13.08,m3/tonnes of product,
122975,"1B1a1 - Underground Mines
","1.B.1.a.i.1 - Mining
","METHANE
",Measured,Fugitive emissions from underground mining activities,,India,23.68,m3/tonnes of product,
122991,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,EF of Underground mines,During mining(Deg.I),India,2.91,m3 CH4/tonne of coal produced,
122992,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,EF of Underground mines,During mining(Deg.II),India,13.08,m3 CH4/tonne of coal produced,
122993,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,EF of Underground mines,During mining(Deg.III),India,23.64,m3 CH4/tonne of coal produced,
122994,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,EF of Underground mines,Post mining(Deg.I),India,0.98,m3 CH4/tonne of coal produced,
122995,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,EF of Underground mines,Post mining(Deg.II),India,2.15,m3 CH4/tonne of coal produced,
122996,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,EF of Underground mines,Post mining(Deg.III),India,3.12,m3 CH4/tonne of coal produced,
122997,"1B1a2 - Surface Mines
","1.B.1.a.ii - Surface mines
","METHANE
",Measured,EF of Surfacemining,Mining,India,1.18,m3 CH4/tonne of coal produced,
122998,"1B1a2 - Surface Mines
","1.B.1.a.ii - Surface mines
","METHANE
",Measured,EF of Surfacemining,Post Mining,India,0.15,m3 CH4/tonne of coal produced,
124920,"1B1a2 - Surface Mines
","1.B.1.a.ii - Surface mines
1.B.1.a.ii.1 - Mining
","METHANE
",Measured,Methane fugitive emissions from surface mining activities,"Production of coal varied between 400-125,000 tonnes per day at the various mine sites","The studies were carried out in Jharia, East Bokaro, West Bokaro, North Karanpura, South Karanpura, Singarauli, Sohagpur and Korba coalfields, India",0.74-1.52,m3/tonnes of product,
124921,"1B1a2 - Surface Mines
","1.B.1.a.ii - Surface mines
1.B.1.a.ii.2 - Post-mining seam gas emissions
","METHANE
",Measured,Methane fugitive emissions from post-mining activities in surface mining,"Production of coal varied between 400-125,000 tonnes per day at the various mine sites","The studies were carried out in Jharia, East Bokaro, West Bokaro, North Karanpura, South Karanpura, Singarauli, Sohagpur and Korba coalfields, India",0.04-1.26,m3/tonnes of product,
125565,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","CARBON DIOXIDE
",Measured,Fugitive emissions from underground mining activities Average (weighted based on coal production),Active mine conditions,"Measurements were carried out on 81 degree-I mines.  These mines were located in different coalfields within eastern and central India. The coalfields within these measurements were: Raniganj, Jharia, East-Bokaro, Mand-Raigarh, Pranhita Godavari, Sohagpur, Ib Valley, Pench-Kannan, Bisrampur, Johilla and Hasdeo, India. ""Degree-I"" underground seam refers to a coal seams in which the percentage of methane in the general body of air does not exceed 0.1 and the rate of emission of methane does not exceed one cubic meter per tonne of coal produced. (Reg 2(12A), Coal Mines Regulations, 1957, DGMS, India).",13.76,m3/tonne of coal,
125566,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","CARBON DIOXIDE
",Measured,Fugitive emissions from underground mining activities Average (weighted based on coal production),Active mine conditions,,7.83,m3/tonne of coal,
125567,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","CARBON DIOXIDE
",Measured,Fugitive emissions from underground mining activities Average (weighted based on coal production),Active mine conditions,,17.65,m3/tonne of coal,
125568,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,Fugitive methane emissions from underground coal mining activities from Degree-I mines. Average (weighted based on coal production),Active mine conditions,"Measurements were carried out on 81 degree-I mines.  These mines were located in different coalfields within eastern and central India. The coalfields within these measurements were: Raniganj, Jharia, East-Bokaro, Mand-Raigarh, Pranhita Godavari, Sohagpur, Ib Valley, Pench-Kannan, Bisrampur, Johilla and Hasdeo, India. ""Degree-I"" underground seam refers to a coal seams in which the percentage of methane in the general body of air does not exceed 0.1 and the rate of emission of methane does not exceed one cubic meter per tonne of coal produced. (Reg 2(12A), Coal Mines Regulations, 1957, DGMS, India).",0.86,m3/tonne of coal,
125569,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,Fugitive methane emissions from underground coal mining activities from Degree-II mines. Average (weighted based on coal production),Active mine conditions,,4.46,m3/tonne of coal,
125570,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,Fugitive methane emissions from underground coal mining activities from Degree-III mines. Average (weighted based on coal production),Active mine conditions,,14.12,m3/tonne of coal,
127317,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,CH4 emission factor for undeground mines in Raniganj coalfield,,"West Bengal, India",2.65,m3/tonne of coal,
127318,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","METHANE
",Measured,CH4 emission factor for undeground mines in Jharia coalfield,,"Jharkhand, India",4.58,m3/tonne of coal,
127319,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","CARBON DIOXIDE
",Measured,CO2 emission factor for undeground mines in Raniganj coalfield,,"West Bengal, India",19.21,m3/tonne of coal,
127320,"1B1a1 - Underground Mines
","1.B.1.a.i - Underground mines
","CARBON DIOXIDE
",Measured,CO2 emission factor for undeground mines in Jharia coalfield,,"Jharkhand, India",17.03,m3/tonne of coal,
